subj,condition,internal_motion_direction,response
1,1,1,-37.5
1,1,1,-49.5
1,1,2,44
1,1,2,33.5
1,0,0,NaN
1,1,1,-23.5
1,0,0,NaN
1,1,1,-40.5
1,1,2,46.5
1,1,2,52.5
1,0,0,NaN
1,1,1,-40
1,0,0,NaN
1,1,1,-30.5
1,1,1,-14.5
1,1,2,33.5
1,0,0,NaN
1,1,2,55.5
1,1,2,66
1,0,0,NaN
1,0,0,NaN
1,1,1,-41.5
1,0,0,NaN
1,1,2,28.5
1,1,1,-46.5
1,0,0,0
1,1,2,34
1,0,0,19.5
1,1,1,-35
1,1,2,48.5
2,1,2,58
2,1,1,-51.5
2,1,1,-46.5
2,1,1,-33
2,1,1,-29.5
2,0,0,0
2,0,0,0
2,1,2,46.5
2,1,1,-48
2,0,0,0
2,0,0,0.5
2,1,2,20.5
2,0,0,1
2,0,0,0
2,1,1,-41.5
2,0,0,0
2,1,1,-30.5
2,0,0,0.5
2,1,1,-1
2,1,2,0
2,1,2,1
2,1,2,0.5
2,1,2,0
2,1,2,1.5
2,1,2,0.5
2,0,0,0.5
2,0,0,1
2,1,2,1
2,1,1,-0.5
2,1,1,NaN
3,0,0,NaN
3,1,2,49.5
3,1,2,66.5
3,1,2,52.5
3,1,1,-47
3,1,1,-43
3,1,2,51.5
3,1,2,54.5
3,0,0,1
3,1,2,60
3,1,1,-44.5
3,0,0,0
3,0,0,-0.5
3,1,1,-47
3,1,1,-47
3,0,0,17.5
3,1,2,49.5
3,1,2,49
3,1,2,50
3,1,1,-50.5
3,1,2,56.5
3,1,1,-32.5
3,0,0,-0.5
3,0,0,2
3,1,1,-38
3,0,0,0.5
3,1,1,-32
3,0,0,1
3,1,1,-45.5
3,0,0,1
4,1,2,50
4,0,0,-2
4,0,0,2
4,0,0,0.5
4,0,0,-0.5
4,1,1,-48
4,0,0,-1.5
4,1,2,47.5
4,1,1,-48.5
4,0,0,2.5
4,1,2,43
4,0,0,2.5
4,1,2,44
4,0,0,4
4,1,2,41.5
4,1,1,-42.5
4,0,0,1
4,1,1,-38.5
4,1,1,-39
4,1,2,34
4,1,2,38
4,1,2,25.5
4,0,0,2
4,1,2,32.5
4,1,1,-40
4,1,1,-32
4,1,1,-40
4,1,1,-36
4,1,2,48
4,1,1,-50
5,0,0,-0.5
5,1,2,48
5,1,1,-43
5,1,1,-45
5,1,1,-38
5,0,0,0.5
5,1,1,-57
5,1,2,52
5,0,0,1
5,1,2,54
5,1,2,44
5,1,2,47
5,1,2,50.5
5,1,1,-43.5
5,1,2,51.5
5,1,2,48
5,0,0,0.5
5,1,1,-44
5,1,1,-44.5
5,0,0,-1
5,0,0,-0.5
5,1,2,49
5,1,1,-36.5
5,1,2,38
5,1,1,-40
5,0,0,1
5,0,0,-0.5
5,1,1,-28
5,0,0,-1
5,0,0,1
6,1,2,46.5
6,1,1,-48.5
6,0,0,4
6,1,1,-44.5
6,1,1,-45
6,1,2,45
6,1,2,44
6,1,2,44.5
6,0,0,1.5
6,1,2,43
6,1,1,-59.5
6,1,1,-45
6,1,2,45.5
6,0,0,0
6,1,1,-45
6,1,2,40
6,0,0,0
6,0,0,0
6,0,0,0
6,1,1,-45.5
6,1,1,-45.5
6,1,2,44.5
6,1,2,44.5
6,0,0,-0.5
6,0,0,-1
6,1,1,-43.5
6,1,2,44
6,0,0,-0.5
6,0,0,1.5
6,1,1,-46
7,1,2,38
7,1,2,47.5
7,1,2,37.5
7,0,0,0.5
7,0,0,-1
7,1,2,44.5
7,0,0,2
7,1,1,-43
7,1,2,41
7,1,1,-36.5
7,0,0,0
7,1,1,-42.5
7,1,2,40
7,0,0,1
7,1,2,52
7,0,0,0.5
7,0,0,-0.5
7,0,0,0
7,1,1,-41
7,1,1,-39
7,1,2,44.5
7,1,1,-41
7,1,2,41.5
7,0,0,-0.5
7,1,1,-43
7,1,1,-35.5
7,1,1,-42
7,1,1,-40.5
7,1,2,41.5
7,0,0,0.5
8,1,1,-55.5
8,1,1,-49.5
8,1,1,-30.5
8,1,2,25
8,1,2,38.5
8,1,1,-35.5
8,1,1,-36.5
8,0,0,-1.5
8,1,1,-45
8,0,0,1.5
8,1,2,52.5
8,0,0,0
8,1,2,46
8,0,0,1
8,1,2,41.5
8,1,2,47.5
8,0,0,-0.5
8,0,0,1.5
8,0,0,-1
8,1,2,35.5
8,0,0,-2
8,0,0,-1.5
8,1,1,-52.5
8,1,1,-48.5
8,0,0,-0.5
8,1,2,57.5
8,1,1,-41
8,1,1,-45.5
8,1,2,41.5
8,1,2,43.5
9,1,2,50.5
9,1,1,-58
9,1,1,-1.5
9,0,0,-0.5
9,0,0,0
9,1,2,8.5
9,0,0,-1.5
9,1,1,-34.5
9,1,2,5.5
9,1,2,0
9,1,1,-22
9,1,1,-11
9,1,2,3
9,0,0,-0.5
9,0,0,0.5
9,1,2,17
9,1,2,17
9,1,1,-29.5
9,1,1,-35
9,1,2,27.5
9,0,0,-0.5
9,1,1,-49.5
9,0,0,-1.5
9,0,0,0
9,1,1,-32
9,0,0,0
9,1,2,10
9,1,1,-52
9,0,0,0
9,1,2,44.5
10,1,1,-39
10,0,0,0
10,1,1,-41.5
10,0,0,2
10,1,1,-52.5
10,1,2,52
10,1,2,57
10,1,2,53.5
10,0,0,2
10,1,1,-60.5
10,1,2,56.5
10,1,1,-51.5
10,1,2,62
10,0,0,0
10,0,0,0
10,1,1,-59.5
10,1,2,56.5
10,1,2,54.5
10,1,2,51.5
10,0,0,-0.5
10,0,0,0
10,1,1,-57
10,1,1,-59.5
10,1,1,-55
10,0,0,1
10,1,1,-55.5
10,0,0,1
10,1,2,56.5
10,0,0,1
10,1,2,56
