subj,condition,internal_motion_direction,response
1,1,1,35.889
1,0,0,0.75556
1,0,0,4.1778
1,1,1,66.022
1,1,2,-49.889
1,1,2,-43.578
1,1,1,45.222
1,0,0,0.15556
1,1,2,-42.622
1,1,2,-43.311
1,1,2,-44.978
1,0,0,1.4
1,1,1,63.156
1,1,2,-43.156
1,0,0,-0.022222
1,1,2,-32.844
1,1,1,58.4
1,0,0,-0.88889
1,1,2,-37.933
1,1,1,56.178
1,0,0,1.9111
1,0,0,0.15556
1,0,0,0.022222
1,1,2,-44.844
1,1,1,56.578
1,1,2,-51.067
1,1,1,55.533
1,1,1,57.333
1,0,0,-0.4
1,1,1,53.156
2,1,2,-43.622
2,1,2,-47.622
2,0,0,-0.48889
2,0,0,0.31111
2,1,2,-46.978
2,1,1,47.111
2,1,2,-41.689
2,1,2,-45.644
2,1,1,44.444
2,0,0,-1.8889
2,0,0,-1.3556
2,0,0,-0.044444
2,0,0,1.0444
2,1,2,-54.067
2,1,1,53.667
2,0,0,-0.022222
2,1,2,-52.756
2,1,2,-43.844
2,1,2,-45.778
2,0,0,0.73333
2,1,1,52.422
2,0,0,0.33333
2,1,1,55.711
2,0,0,-0.62222
2,1,2,-50.356
2,1,1,54.067
2,1,1,53.978
2,1,1,54.978
2,1,1,50.6
2,1,1,47.867
3,1,2,-57.267
3,0,0,-1.1778
3,1,1,53.111
3,1,1,46.267
3,1,2,-45.956
3,0,0,0.6
3,1,1,52.8
3,1,2,-47.156
3,1,2,-1.9778
3,1,1,45.2
3,1,1,47.311
3,1,1,55.556
3,0,0,-0.17778
3,1,1,50.533
3,1,2,-50.644
3,1,1,45.022
3,0,0,0.11111
3,1,1,43.222
3,1,2,-49.222
3,1,2,NaN
3,0,0,-0.13333
3,0,0,0.57778
3,0,0,-0.82222
3,0,0,-0.86667
3,0,0,-0.68889
3,1,1,55.911
3,0,0,-0.64444
3,1,2,NaN
3,1,2,NaN
3,1,2,-45.422
4,1,1,36.089
4,1,1,42.4
4,0,0,-0.68889
4,0,0,0.62222
4,1,1,43.289
4,1,2,-42.733
4,1,2,-42.622
4,1,1,39.467
4,1,1,48.978
4,1,1,44.378
4,1,1,39.822
4,0,0,0.24444
4,0,0,1.0222
4,1,1,42.6
4,0,0,1.3778
4,0,0,0.44444
4,0,0,0.55556
4,1,2,-43.867
4,0,0,0.95556
4,1,2,-56.8
4,1,2,-51.089
4,0,0,-0.88889
4,1,2,-45
4,1,1,44.333
4,1,2,-53.511
4,0,0,2.5197e-13
4,1,2,-41.6
4,1,1,41.711
4,1,2,-42.2
4,1,2,-47.4
5,1,1,41.778
5,0,0,-0.71111
5,1,2,-56.867
5,0,0,-0.8
5,1,1,44.6
5,1,1,40.822
5,1,2,-51.356
5,1,1,37.733
5,1,2,-53.089
5,1,2,-54.156
5,0,0,-0.66667
5,0,0,0.33333
5,1,1,43.444
5,1,1,52.067
5,0,0,-0.13333
5,1,1,45.067
5,1,2,-53.289
5,0,0,-0.022222
5,1,2,-53.267
5,0,0,0.28889
5,1,1,44.511
5,1,2,-53.4
5,1,1,50.4
5,1,2,-41.333
5,0,0,2.2222
5,0,0,-0.64444
5,1,2,-55.067
5,0,0,-1.1111
5,1,1,48.733
5,1,2,-48.6
6,1,1,16.511
6,1,1,20.8
6,1,1,34.822
6,0,0,-0.022222
6,1,2,-38.244
6,1,2,-48.422
6,0,0,5.3556
6,1,1,41.444
6,0,0,-1.5111
6,0,0,1.6222
6,0,0,0.35556
6,1,1,46.2
6,1,1,50
6,1,2,-54.756
6,0,0,4.0667
6,1,2,-53.711
6,1,2,-50.356
6,1,1,43.8
6,1,2,-48.422
6,1,1,44.822
6,1,2,-48.622
6,1,2,-44.222
6,1,2,-45.867
6,1,2,-46.311
6,0,0,8.2222
6,0,0,6.8222
6,1,1,46.289
6,1,1,45.489
6,0,0,-0.35556
6,0,0,-0.6
7,0,0,1.0667
7,1,2,-43.933
7,0,0,0.6
7,1,2,-57.067
7,1,1,53.2
7,1,2,-44.2
7,1,1,44.733
7,1,1,44.8
7,1,1,44.867
7,0,0,-0.4
7,1,2,-45.467
7,1,2,-41.067
7,1,1,41.733
7,1,2,-45.067
7,0,0,1.4667
7,0,0,0.46667
7,0,0,-0.26667
7,0,0,0.066667
7,0,0,-2.2667
7,1,2,-45.333
7,1,1,47.4
7,1,1,55.8
7,1,1,52.667
7,1,1,47.933
7,1,2,-52.333
7,0,0,-0.2
7,0,0,0.33333
7,1,2,-43.067
7,1,2,-49.067
7,1,1,54.467
8,1,2,-60.289
8,1,1,44
8,0,0,-0.4
8,0,0,-0.4
8,0,0,-0.4
8,1,1,46.289
8,1,2,-42.867
8,1,2,-68.711
8,0,0,-0.97778
8,0,0,0.33333
8,0,0,-0.71111
8,1,1,48.222
8,1,2,-55.044
8,0,0,-1.1556
8,1,1,41.489
8,1,2,-42.822
8,0,0,1.0667
8,1,1,44.178
8,1,2,-56.244
8,1,2,-50.711
8,1,1,44.689
8,1,2,-62.511
8,0,0,0.35556
8,1,1,41.978
8,1,1,44.933
8,0,0,-0.6
8,1,1,45.156
8,1,2,-65.333
8,1,2,-45.289
8,1,1,43.422
9,1,1,51.2
9,1,1,37.467
9,1,1,40.644
9,1,2,-57.156
9,0,0,-0.57778
9,1,2,-53.222
9,0,0,-0.48889
9,1,1,44.933
9,0,0,0.31111
9,0,0,0.55556
9,1,1,45
9,1,2,-53.422
9,0,0,0.13333
9,1,1,45.533
9,1,2,-56.711
9,0,0,0.68889
9,0,0,0.088889
9,1,1,59.467
9,0,0,0.64444
9,1,2,-61.578
9,1,2,-56.356
9,1,2,-54.4
9,1,1,51.067
9,1,2,-56.356
9,0,0,-0.71111
9,1,1,53.822
9,1,2,-42.444
9,1,1,56.222
9,0,0,0.22222
9,1,2,-57.533
